Address,Sold Price,Bedrooms,Bathrooms,Area (SqFt),House Age
"16619 Osborne St, North Hills, CA 91343",1000000,4.0,2.0,1755.0,
"18438 Los Alimos St, Porter Ranch, CA 91326",975000,4.0,2.0,1698.0,
"22352 Heritage Pass Pl, Chatsworth, CA 91311",594000,2.0,2.0,1185.0,
"10200 Bothwell Rd, Northridge, CA 91324",1230000,3.0,3.0,2436.0,
"10315 Vanalden Ave, Porter Ranch, CA 91326",1150000,4.0,3.0,2566.0,
"18627 Hillsboro Rd, Porter Ranch, CA 91326",1380000,4.0,4.0,3022.0,
"19806 Needles St, Chatsworth, CA 91311",810000,3.0,3.0,1823.0,
"18620 Citronia St, Northridge, CA 91324",1130000,3.0,2.0,1917.0,
"11921 Calle Vista Ct, Porter Ranch, CA 91326",1170000,3.0,3.0,1889.0,
"7907 Croydon Ave, Los Angeles, CA 90045",2200000,3.0,2.0,2025.0,
"6443 W 81st St, Los Angeles, CA 90045",2880000,4.0,4.0,3333.0,
"400 Campdell St, Playa Del Rey, CA 90293",2100000,4.0,3.0,3068.0,
"8635 Falmouth Ave APT 212, Playa Del Rey, CA 90293",495000,1.0,1.0,710.0,
"5435 W 76th St, Los Angeles, CA 90045",1580000,4.0,3.0,2080.0,
"12700 Bonaparte Ave, Los Angeles, CA 90066",1240000,3.0,1.0,1034.0,
"2914 Grayson Ave, Venice, CA 90291",2120000,2.0,2.0,1726.0,
"2500 Abbot Kinney Blvd APT 25, Venice, CA 90291",940000,2.0,3.0,878.0,
"969 S Carmelina Ave, Los Angeles, CA 90049",3920000,5.0,5.0,3830.0,
"3439 Keystone Ave APT 3, Los Angeles, CA 90034",950000,2.0,3.0,1298.0,
"1300 Midvale Ave APT 502, Los Angeles, CA 90024",630000,1.0,1.0,818.0,
"2122 Century Park Ln APT 109, Los Angeles, CA 90067",1430000,2.0,3.0,1659.0,
"667 Ledo Way, Los Angeles, CA 90049",10000000,4.0,8.0,6238.0,
"626 Bienveneda Ave, Pacific Palisades, CA 90272",750000,,,,
"15007 McKendree Ave, Pacific Palisades, CA 90272",1900000,,,,
"1034 Embury St, Pacific Palisades, CA 90272",1410000,,,,
"314 N Barrington Ave, Los Angeles, CA 90049",10600000,5.0,8.0,8497.0,
"2030 Palisades Dr, Pacific Palisades, CA 90272",1780000,3.0,4.0,2567.0,
"2110 Eric Dr, Los Angeles, CA 90049",4350000,4.0,4.0,3113.0,
"5323 Blackwelder St, Los Angeles, CA 90016",840000,2.0,1.0,760.0,
"2120 Carmona Ave, Los Angeles, CA 90016",1350000,11.0,7.0,4982.0,
"1120 S Lucerne Blvd, Los Angeles, CA 90019",800000,2.0,1.0,1008.0,
"332 N Saint Louis St, Los Angeles, CA 90033",875000,6.0,5.0,3398.0,
"2200 Avon St, Los Angeles, CA 90026",754000,,,,
"3744 Clayton Ave, Los Angeles, CA 90027",2750000,4.0,5.0,3638.0,
"3961 Cumberland Ave, Los Angeles, CA 90027",1240000,3.0,2.0,1917.0,
"404 Canyon Vista Dr, Los Angeles, CA 90065",730000,1.0,1.0,420.0,
"108 S Detroit St, Los Angeles, CA 90036",2100000,6.0,4.0,4790.0,
"131 S Arden Blvd, Los Angeles, CA 90004",3450000,3.0,3.0,2462.0,
"927 N Laurel Ave, Los Angeles, CA 90046",3250000,5.0,5.0,3870.0,
"763 N Heliotrope Dr, Los Angeles, CA 90029",950000,4.0,4.0,3992.0,
"1304 N Mansfield Ave, Los Angeles, CA 90028",1260000,3.0,4.0,2044.0,
"2335 Stanley Hills Dr, Los Angeles, CA 90046",945000,3.0,2.0,1236.0,
"2034 Grace Ave, Los Angeles, CA 90068",2500000,3.0,4.0,1931.0,
"6801 Iris Cir, Los Angeles, CA 90068",2150000,4.0,4.0,2814.0,
"3260 De Witt Dr, Los Angeles, CA 90068",1350000,4.0,2.0,1776.0,
"5014 El Verano Ave, Los Angeles, CA 90041",1200000,2.0,2.0,1152.0,
"1620 W 59th Pl, Los Angeles, CA 90047",645000,2.0,1.0,878.0,
"854 W Gage Ave, Los Angeles, CA 90044",775000,8.0,4.0,2304.0,
"7827 S Hobart Blvd, Los Angeles, CA 90047",805000,3.0,4.0,1512.0,
"722 W 79th St, Los Angeles, CA 90044",720000,8.0,4.0,3226.0,
"10640 S Gramercy Pl, Los Angeles, CA 90047",545500,2.0,1.0,1229.0,
"10722 Anzac Ave, Los Angeles, CA 90059",326788,2.0,1.0,720.0,
"1104 Frigate Ave, Wilmington, CA 90744",755000,3.0,2.0,1441.0,
"303 W Sepulveda St, San Pedro, CA 90731",570000,2.0,1.0,818.0,
"1336 S Palos Verdes St, San Pedro, CA 90731",850000,3.0,2.0,1639.0,
"1156 W 26th St, San Pedro, CA 90731",1080000,3.0,2.0,1468.0,
"8323 Gustav Ln, Canoga Park, CA 91304",1160000,4.0,2.0,2043.0,
"22017 Bryant St, West Hills, CA 91304",989000,3.0,3.0,1407.0,
"6011 Dawn Crk UNIT 7, Playa Vista, CA 90094",1770000,3.0,3.0,2060.0,
"5545 Canoga Ave APT 121, Woodland Hills, CA 91367",510000,2.0,2.0,910.0,
"11500 Tennessee Ave UNIT 114, Los Angeles, CA 90064",1140000,2.0,3.0,1610.0,
"15050 Sherman Way UNIT 146, Los Angeles, CA 91405",515000,2.0,2.0,1309.0,
"15455 Glenoaks Blvd SPACE 266, Sylmar, CA 91342",395000,3.0,3.0,1520.0,
"8801 Eton Ave SPACE 90, Canoga Park, CA 91304",230000,3.0,2.0,1152.0,
"7435-7437 Balcom Ave, Reseda, CA 91335",1010000,6.0,4.0,2007.0,
"919 1/2 N Benton Way, Los Angeles, CA 90026",725000,3.0,3.0,1100.0,
"5864 Saturn St, Los Angeles, CA 90019",1400000,3.0,4.0,1856.0,
"8761 Cashio St, Los Angeles, CA 90035",1250000,4.0,2.0,2350.0,
"19432 1/2 Keswick St, Reseda, CA 91335",2150,1.0,1.0,463.0,
"25399 Pine Creek Ln #207, Wilmington, CA 90744",495000,2.0,2.0,1170.0,
"5866 Saturn St, Los Angeles, CA 90035",1350000,3.0,4.0,1856.0,
"10580 Wilshire Blvd APT 16NW, Los Angeles, CA 90024",3700000,3.0,4.0,2776.0,
"24201 Friar St, Woodland Hills, CA 91367",1180000,3.0,2.0,1685.0,
"22608 Crespi St, Woodland Hills, CA 91364",1450000,4.0,3.0,2107.0,
"8016 Lubao Ave, Winnetka, CA 91306",880000,4.0,2.0,1753.0,
"5720 Comanche Ave, Woodland Hills, CA 91367",1470000,3.0,2.0,1800.0,
"5948 Hesperia Ave, Encino, CA 91316",1330000,3.0,3.0,2004.0,
"13838 Vanowen St, Van Nuys, CA 91405",1450000,6.0,8.0,3796.0,
"3217 Bennett Dr, Los Angeles, CA 90068",1210000,2.0,1.0,1112.0,
"11242 Kamloops St, Sylmar, CA 91342",827000,3.0,2.0,1390.0,
"7611 Yates St, Tujunga, CA 91042",812000,2.0,2.0,1146.0,
"10112 Woodward Ave, Sunland, CA 91040",1090000,3.0,2.0,1673.0,
"10124 Oro Vista Ave, Sunland, CA 91040",1220000,4.0,3.0,2806.0,
"17500 Rushing Dr, Granada Hills, CA 91344",1270000,3.0,2.0,2275.0,
"13723 Pinney St, Pacoima, CA 91331",835000,4.0,2.0,1586.0,
"9651 Gullo Ave, Pacoima, CA 91331",770000,3.0,3.0,1622.0,
"10400 Langdon Ave, Mission Hills, CA 91345",600000,3.0,2.0,1184.0,
"9025 Willis Ave UNIT 147, Panorama City, CA 91402",425000,3.0,3.0,1658.0,
"9150 Sophia Ave, North Hills, CA 91343",1010000,3.0,2.0,1671.0,
"11063 White Oak Ave, Granada Hills, CA 91344",1120000,3.0,2.0,1404.0,
"10214 Larwin Ave UNIT 3, Chatsworth, CA 91311",750000,4.0,3.0,2008.0,
"18241 Andrea Cir N UNIT 1, Northridge, CA 91325",785000,3.0,3.0,2061.0,
"9917 Independence Ave UNIT C, Chatsworth, CA 91311",510000,2.0,2.0,1079.0,
"21025 Lemarsh St UNIT G39, Chatsworth, CA 91311",685000,3.0,3.0,1650.0,
"9950 Topanga Canyon Blvd UNIT 5, Chatsworth, CA 91311",575000,3.0,3.0,1445.0,
"18200 Sandringham Ct, Porter Ranch, CA 91326",1710000,4.0,5.0,4043.0,
"13236 Fiji Way UNIT J, Los Angeles, CA 90292",1200000,2.0,3.0,1763.0,
"3734 Wade St, Los Angeles, CA 90066",2260000,3.0,4.0,2406.0,
"3481 Saint Susan Pl, Los Angeles, CA 90066",2900000,4.0,4.0,2089.0,
"2541 Midvale Ave, Los Angeles, CA 90064",1630000,3.0,1.0,1297.0,
"11337 Nebraska Ave APT 305, Los Angeles, CA 90025",788000,2.0,2.0,1258.0,
"1242 S Barrington Ave #O109, Los Angeles, CA 90025",814000,2.0,2.0,1170.0,
"315 26th St, Santa Monica, CA 90402",3350000,3.0,2.0,1680.0,
"235 Main St APT 121, Venice, CA 90291",888000,2.0,2.0,1188.0,
"400 Chautauqua Blvd, Pacific Palisades, CA 90272",25000,5.0,6.0,5445.0,
"16449 Akron St, Pacific Palisades, CA 90272",2100000,4.0,2.0,1650.0,
"826 Galloway St, Pacific Palisades, CA 90272",1500000,,,,
"5407 8th Ave, Los Angeles, CA 90043",862000,3.0,3.0,1601.0,
"4911 S Wilton Pl, Los Angeles, CA 90062",815000,3.0,2.0,1173.0,
"1575 W 37th St, Los Angeles, CA 90018",791000,3.0,2.0,1540.0,
"1511 Carmona Ave, Los Angeles, CA 90019",1450000,3.0,3.0,1316.0,
"322 Cornwell St, Los Angeles, CA 90033",940000,7.0,5.0,2728.0,
"3120 Minnesota St, Los Angeles, CA 90031",710000,2.0,1.0,744.0,
"2214 Thomas St, Los Angeles, CA 90031",1030000,6.0,3.0,3360.0,
"3423 Stockbridge Ave, Los Angeles, CA 90032",895000,2.0,1.0,1153.0,
"4406 Berenice Ave, Los Angeles, CA 90031",970001,1.0,1.0,856.0,
"926 W Kensington Rd, Los Angeles, CA 90026",1770000,4.0,2.0,2683.0,
"881 Mount Washington Dr, Los Angeles, CA 90065",1360000,3.0,3.0,2682.0,
"4819 Glenalbyn Dr, Los Angeles, CA 90065",1000000,3.0,2.0,1140.0,
"555 N Irving Blvd, Los Angeles, CA 90004",2060000,3.0,3.0,1469.0,
"842 N McCadden Pl, Los Angeles, CA 90038",1310000,8.0,4.0,2091.0,
"901 N Alexandria Ave, Los Angeles, CA 90029",875000,3.0,2.0,1991.0,
"7250 Franklin Ave UNIT 107, Los Angeles, CA 90046",742500,2.0,2.0,1260.0,
