Address,Sold Price,Bedrooms,Bathrooms,Area (SqFt),House Age
"7363 W 87th Pl, Los Angeles, CA 90045",1700000,4.0,3.0,1867.0,
"522 Altair Pl, Venice, CA 90291",1720000,2.0,3.0,1267.0,
"3113 Mountain View Ave, Los Angeles, CA 90066",2300000,3.0,1.0,1157.0,
"2758 Butler Ave, Los Angeles, CA 90064",1290000,3.0,1.0,1073.0,
"2224 Guthrie Dr, Los Angeles, CA 90034",5000000,6.0,5.0,5129.0,
"1440 Veteran Ave APT 241, Los Angeles, CA 90024",550000,1.0,1.0,693.0,
"1665 Summitridge Dr, Beverly Hills, CA 90210",4750000,4.0,5.0,4825.0,
"11736 Gwynne Ln, Los Angeles, CA 90077",2850000,3.0,3.0,2614.0,
"410 Via De La Paz, Pacific Palisades, CA 90272",2690000,,,,
"1159 Monument St, Pacific Palisades, CA 90272",2340000,,,,
"5325 S Victoria Ave, Los Angeles, CA 90043",1540000,4.0,4.0,2110.0,
"1153 S Alfred St, Los Angeles, CA 90035",1630000,3.0,2.0,2123.0,
"400 S La Fayette Park Pl APT 102, Los Angeles, CA 90057",529000,2.0,2.0,1238.0,
"1557 Curran St, Los Angeles, CA 90026",1130000,3.0,2.0,2450.0,
"1947 Whitmore Ave, Los Angeles, CA 90039",718500,1.0,1.0,576.0,
"4042 Marchena Dr, Los Angeles, CA 90065",2120000,4.0,3.0,2492.0,
"5336 Stratford Rd, Los Angeles, CA 90042",1170000,3.0,2.0,1080.0,
"825 N Hobart Blvd, Los Angeles, CA 90029",1830000,13.0,7.0,4312.0,
"532 N Virgil Ave, Los Angeles, CA 90004",1420000,2.0,2.0,1620.0,
"1600 N Hobart Blvd APT 11, Los Angeles, CA 90027",450000,1.0,1.0,800.0,
"4843 Genevieve Ave, Los Angeles, CA 90041",1100000,4.0,2.0,1670.0,
"531 W 61st St, Los Angeles, CA 90044",600000,2.0,1.0,1016.0,
"12760 Judd St, Pacoima, CA 91331",750000,5.0,3.0,1630.0,
"2919 Gleneden St, Los Angeles, CA 90039",1130000,3.0,2.0,1484.0,
"2011 Cummings Dr, Los Angeles, CA 90027",6580000,5.0,7.0,5639.0,
"13044 Pacific Promenade APT 420, Playa Vista, CA 90094",1490000,2.0,3.0,1482.0,
"20234 Cohasset St UNIT 3, Winnetka, CA 91306",435000,2.0,2.0,1040.0,
"11806 N Ricasoli Way, Porter Ranch, CA 91326",1310000,3.0,3.0,2251.0,
"15237 De Pauw St, Pacific Palisades, CA 90272",500000,,,,
"11312 Huston St #6, North Hollywood, CA 91601",3395,3.0,3.0,1325.0,
"20409 W Esmerelda Ln, Northridge, CA 91326",1690000,4.0,5.0,3295.0,
"6030 S Seabluff Dr APT 413, Los Angeles, CA 90094",1400000,3.0,2.0,1280.0,
"7940 Stansbury Ave, Panorama City, CA 91402",4000,3.0,2.0,1300.0,
"12131 Beaufait Ave, Porter Ranch, CA 91326",5500,4.0,2.0,2094.0,
"3640 Cardiff Ave APT 110, Los Angeles, CA 90034",3400,2.0,2.0,907.0,
"9955 Westwanda Dr, Beverly Hills, CA 90210",2110000,3.0,2.0,2478.0,
"3960 Westside Ave, Los Angeles, CA 90008",1230000,3.0,2.0,1816.0,
"5510 Owensmouth Ave APT 313, Woodland Hills, CA 91367",500000,2.0,2.0,920.0,
"8719 Woodley Ave SUITE B, North Hills, CA 91343",2880,,0.0,860.0,
"16404 Donmetz St, Granada Hills, CA 91344",2500,1.0,1.0,640.0,
"1480 Vine St APT 401, Los Angeles, CA 90028",5665,2.0,2.0,1110.0,
"18620 Hatteras St UNIT 276, Tarzana, CA 91356",2200,2.0,2.0,910.0,
"15632 Viewridge Ln #36, Granada Hills, CA 91344",515500,2.0,3.0,1371.0,
"1454 W 28th St, Los Angeles, CA 90007",1030000,4.0,1.0,2601.0,
"243 E 29th St, Los Angeles, CA 90011",649000,6.0,3.0,2215.0,
"3340 E 1st St, Los Angeles, CA 90063",649000,2.0,3.0,912.0,
"23240 Leonora Dr, Woodland Hills, CA 91367",1650000,5.0,5.0,2500.0,
"20347 Runnymede St, Winnetka, CA 91306",3200,2.0,2.0,996.0,
"14200 Polk St UNIT 52, Sylmar, CA 91342",545000,3.0,2.0,1179.0,
"14594 Dyer St, Sylmar, CA 91342",695000,3.0,2.0,1569.0,
"2548 Angelo Dr, Los Angeles, CA 90077",1900000,3.0,3.0,2867.0,
"5150 Raleigh St, Los Angeles, CA 90004",975000,5.0,3.0,2507.0,
"5329 Shirley Ave, Tarzana, CA 91356",2600000,4.0,5.0,4450.0,
"879 W 18th St #3, San Pedro, CA 90731",450000,,,,
"7800 Topanga Canyon Blvd APT 323, Canoga Park, CA 91304",399000,2.0,2.0,1036.0,
"22525 Sherman Way UNIT 1201, Los Angeles, CA 91307",650000,3.0,3.0,1633.0,
"22854 Sherman Way, West Hills, CA 91307",830750,3.0,2.0,1358.0,
"7008 Scarborough Peak Dr, West Hills, CA 91307",1020000,4.0,3.0,1690.0,
"20554 Valerio St, Winnetka, CA 91306",795000,3.0,2.0,1616.0,
"5715 Cahill Ave, Tarzana, CA 91356",1090000,3.0,2.0,1479.0,
"18600 Clark St UNIT 102, Tarzana, CA 91356",460000,2.0,2.0,1200.0,
"18854 Edleen Dr, Tarzana, CA 91356",1710000,4.0,3.0,2701.0,
"4314 Coronet Dr, Encino, CA 91316",1760000,3.0,2.0,2591.0,
"14202 Lanark St, Panorama City, CA 91402",880000,5.0,4.0,1850.0,
"7801 Clearfield Ave, Panorama City, CA 91402",770000,4.0,2.0,1520.0,
"6913 Bevis Ave, Van Nuys, CA 91405",770000,3.0,2.0,2109.0,
"14741 Killion St, Van Nuys, CA 91411",1030000,2.0,1.0,1060.0,
"5437 Noble Ave, Sherman Oaks, CA 91411",2300000,4.0,4.0,2268.0,
"5460 White Oak Ave UNIT A118, Los Angeles, CA 91316",220000,1.0,1.0,683.0,
"4747 Firmament Ave, Encino, CA 91436",1450000,3.0,3.0,1515.0,
"4634 Vesper Ave, Sherman Oaks, CA 91403",2880000,5.0,6.0,3764.0,
"14332 Roblar Pl, Sherman Oaks, CA 91423",2210000,4.0,2.0,2551.0,
"4348 Mammoth Ave APT 102, Sherman Oaks, CA 91423",4000,2.0,3.0,1601.0,
"6910 Bellaire Ave, North Hollywood, CA 91605",865000,4.0,3.0,1764.0,
"6006 Sunnyslope Ave, Van Nuys, CA 91401",1450000,4.0,3.0,2264.0,
"6050 Vantage Ave, North Hollywood, CA 91606",920000,3.0,3.0,1480.0,
"11554 Haynes St, North Hollywood, CA 91606",1200000,7.0,5.0,2862.0,
"11925 Tiara St, Valley Village, CA 91607",1180000,3.0,3.0,1853.0,
"12806 Tiara St, Valley Village, CA 91607",1000000,3.0,2.0,1470.0,
"12144 Blix St, Valley Village, CA 91607",1600000,3.0,3.0,2333.0,
"4739 Ventura Canyon Ave, Sherman Oaks, CA 91423",2020000,4.0,4.0,2775.0,
"4223 Wilkinson Ave, Studio City, CA 91604",1800000,3.0,2.0,1621.0,
"9436 Via Monique, Burbank, CA 91504",875000,3.0,3.0,1602.0,
"7552 Bloomington Ave, Burbank, CA 91504",780000,3.0,2.0,1234.0,
"4936 Strohm Ave, Toluca Lake, CA 91601",3480000,6.0,7.0,4381.0,
"4445 Cartwright Ave APT 207, North Hollywood, CA 91602",566250,2.0,2.0,1322.0,
"15428 Roxford St, Sylmar, CA 91342",1300000,3.0,3.0,1617.0,
"14739 Ararat St, Sylmar, CA 91342",660000,3.0,2.0,1118.0,
"11568 Luanda St, Sylmar, CA 91342",840000,3.0,3.0,1600.0,
"9231 Ledge Ave, Sun Valley, CA 91352",1200000,5.0,3.0,2830.0,
"7632 McGroarty St, Tujunga, CA 91042",987000,3.0,3.0,2867.0,
"14016 Candlewood Dr, Sylmar, CA 91342",822000,3.0,2.0,1292.0,
"16827 Bircher St, Granada Hills, CA 91344",1140000,4.0,2.0,1795.0,
"10838 Burnet Ave, Mission Hills, CA 91345",1190000,6.0,4.0,2524.0,
"9006 Patrick Ave, Pacoima, CA 91331",781000,3.0,2.0,1264.0,
"9436 Natick Ave, North Hills, CA 91343",830000,4.0,2.0,1864.0,
"8800 Cedros Ave APT 210, Panorama City, CA 91402",275000,1.0,1.0,643.0,
"10217 Lemona Ave, Mission Hills, CA 91345",1100000,3.0,2.0,1819.0,
"9947 Norwich Ave, Mission Hills, CA 91345",665000,3.0,2.0,1246.0,
"9946 Ruffner Ave, North Hills, CA 91343",913500,4.0,3.0,2000.0,
"16901 Kinzie St, Northridge, CA 91343",1170000,4.0,2.0,2024.0,
"16625 Dearborn St, North Hills, CA 91343",860000,4.0,3.0,1901.0,
"17027 Simonds St, Granada Hills, CA 91344",965000,5.0,3.0,2574.0,
"11787 Oakhurst Way, Porter Ranch, CA 91326",1230000,5.0,3.0,2591.0,
"22331 Mission Cir, Chatsworth, CA 91311",675000,3.0,3.0,1586.0,
"10206 Oklahoma Ave UNIT D, Chatsworth, CA 91311",570000,2.0,2.0,1155.0,
"20657 Septo St, Chatsworth, CA 91311",775000,5.0,3.0,2201.0,
"8449 Melvin Ave, Northridge, CA 91324",975000,2.0,3.0,2324.0,
"11730 Preston Trails Ave, Porter Ranch, CA 91326",1290000,3.0,2.0,2093.0,
"2609 Hyde Park Blvd, Los Angeles, CA 90043",597000,2.0,1.0,815.0,
"8601 Falmouth Ave APT 404, Playa Del Rey, CA 90293",640000,1.0,2.0,855.0,
"4351 Redwood Ave UNIT 6, Marina Del Rey, CA 90292",1160000,2.0,2.0,1057.0,
"13236 Fiji Way UNIT D, Los Angeles, CA 90292",1350000,3.0,3.0,1763.0,
"11 19th Ave, Venice, CA 90291",2600000,4.0,5.0,2724.0,
"20 19th Ave, Venice, CA 90291",1630000,4.0,4.0,2328.0,
"2918 Sanborn Ave, Venice, CA 90291",1670000,3.0,3.0,1076.0,
"4066 Tivoli Ave, Los Angeles, CA 90066",1890000,4.0,3.0,1851.0,
"4040 Grand View Blvd UNIT 7, Los Angeles, CA 90066",765000,2.0,2.0,841.0,
"2031 Glyndon Ave, Venice, CA 90291",2290000,2.0,2.0,935.0,
"3731 Wasatch Ave, Los Angeles, CA 90066",4780000,5.0,5.0,4154.0,
"11925 Charnock Rd, Los Angeles, CA 90066",2650000,5.0,5.0,3761.0,
"10806 Esther Ave, Los Angeles, CA 90064",1680000,4.0,2.0,1496.0,
"2170 Linnington Ave, Los Angeles, CA 90025",1510000,3.0,3.0,1692.0,
"10346 Louisiana Ave, Los Angeles, CA 90025",4700000,4.0,5.0,3957.0,
"1612 Gilcrest Dr, Beverly Hills, CA 90210",2650000,2.0,2.0,1766.0,
"969 Hilgard Ave APT 703, Los Angeles, CA 90024",560000,1.0,1.0,778.0,
"1006 N Beverly Glen Blvd, Los Angeles, CA 90077",875000,2.0,1.0,994.0,
"456 N Bowling Green Way, Los Angeles, CA 90049",10300000,5.0,7.0,7246.0,
"1124 Napoli Dr, Pacific Palisades, CA 90272",25800000,5.0,6.0,10568.0,
"345 W Channel Rd, Santa Monica, CA 90402",10200000,5.0,7.0,,
"207 Tranquillo Rd, Pacific Palisades, CA 90272",1670000,,,,
"857 Castac Pl, Pacific Palisades, CA 90272",1100000,,,,
"1224 El Hito Cir, Pacific Palisades, CA 90272",2430000,5.0,2.0,2136.0,
"950 Galloway St, Pacific Palisades, CA 90272",1560000,,,,
"16795 Monte Hermoso Dr, Pacific Palisades, CA 90272",2800000,3.0,4.0,3421.0,
"1490 W 51st St, Los Angeles, CA 90062",540000,2.0,1.0,1248.0,
"4170 4th Ave, Los Angeles, CA 90008",750000,3.0,2.0,1450.0,
"3980 Cherrywood Ave, Los Angeles, CA 90008",877500,2.0,1.0,1445.0,
"3904 Dalton Ave, Los Angeles, CA 90062",550000,3.0,2.0,1480.0,
"3501 Hillcrest Dr, Los Angeles, CA 90016",1360000,4.0,3.0,1522.0,
"5703 Clemson St, Los Angeles, CA 90016",450000,2.0,1.0,785.0,
"3010 11th Ave, Los Angeles, CA 90018",885000,2.0,1.0,1092.0,
"2709 S Harcourt Ave, Los Angeles, CA 90016",1430000,3.0,2.0,1252.0,
"2829 Blanchard St, Los Angeles, CA 90033",425000,3.0,2.0,1444.0,
"5361 Oakland St, Los Angeles, CA 90032",1080000,3.0,2.0,1461.0,
"3523 Winchester Ave, Los Angeles, CA 90032",1150000,3.0,2.0,2243.0,
"3400 Carnation Ave, Los Angeles, CA 90026",2500000,4.0,3.0,2468.0,
"4132 Cumberland Ave, Los Angeles, CA 90027",1240000,2.0,1.0,752.0,
"3210 Windsor Ave, Los Angeles, CA 90039",1400000,2.0,2.0,1059.0,
"2006 El Moran St, Los Angeles, CA 90039",1210000,1.0,1.0,949.0,
"2560 Hyler Ave, Los Angeles, CA 90041",1310000,3.0,2.0,1192.0,
"446 N Croft Ave, Los Angeles, CA 90048",4220000,6.0,7.0,4200.0,
"616 N Gower St, Los Angeles, CA 90004",2350000,5.0,5.0,2415.0,
"8021 Floral Ave, Los Angeles, CA 90046",3720000,4.0,5.0,3282.0,
"3480 Barham Blvd APT 105, Los Angeles, CA 90068",630000,2.0,2.0,1129.0,
"4325 Price St, Los Angeles, CA 90027",1100000,3.0,2.0,1620.0,
"3360 Ley Dr, Los Angeles, CA 90027",2730000,4.0,4.0,3420.0,
"4022 Goodwin Ave, Los Angeles, CA 90039",975000,5.0,4.0,2736.0,
"5337 La Roda Ave, Los Angeles, CA 90041",1900000,3.0,2.0,2346.0,
"1626 W 60th Pl, Los Angeles, CA 90047",511000,2.0,1.0,900.0,
"424 E 61st St, Los Angeles, CA 90003",480000,4.0,3.0,1740.0,
"822 W 65th St, Los Angeles, CA 90044",920000,4.0,3.0,1738.0,
"2126 W 77th St, Los Angeles, CA 90047",665000,3.0,2.0,1374.0,
"234 E 81st St, Los Angeles, CA 90003",502777,2.0,1.0,668.0,
"536 W Century Blvd, Los Angeles, CA 90044",875000,7.0,3.0,2711.0,
"962 E Lanzit Ave, Los Angeles, CA 90059",505000,3.0,2.0,1170.0,
"17321 Merit Ave, Gardena, CA 90247",710000,3.0,2.0,1395.0,
"1509 W 207th St, Torrance, CA 90501",820000,4.0,3.0,1758.0,
"1220 W L St, Wilmington, CA 90744",950000,4.0,2.0,2660.0,
"23510 Kentworthy Ave, Harbor City, CA 90710",895000,4.0,2.0,1574.0,
"426 N Pacific Ave, San Pedro, CA 90731",890000,4.0,3.0,1864.0,
"348 S Hamilton Ave, San Pedro, CA 90732",720000,1.0,1.0,624.0,
"3500 S Peck Ave APT 2, San Pedro, CA 90731",700000,2.0,2.0,1238.0,
"1847 El Rey Rd, San Pedro, CA 90732",1240000,3.0,2.0,1977.0,
"8944 Megan Ave, Canoga Park, CA 91304",950000,4.0,2.0,1818.0,
"10982 Roebling Ave APT 338, Los Angeles, CA 90024",455000,0.0,1.0,502.0,
"1435 Lomita Blvd APT 103, Harbor City, CA 90710",700000,3.0,2.0,1670.0,
"630 W 6th St APT 410, Los Angeles, CA 90017",450000,2.0,2.0,810.0,
"21450 Burbank Blvd APT 311, Woodland Hills, CA 91367",540000,2.0,2.0,910.0,
"14114 Almetz Cir, Sylmar, CA 91342",730000,3.0,3.0,2050.0,
"8960 Telfair Ave, Sun Valley, CA 91352",920000,4.0,3.0,1959.0,
"1155 S Grand Ave APT 305, Los Angeles, CA 90015",585000,1.0,1.0,1050.0,
"3740 Santa Rosalia Dr #408, Los Angeles, CA 90008",555000,2.0,2.0,1000.0,
"333 S Mapleton Dr, Los Angeles, CA 90024",13500000,,,,
"21301 Erwin St UNIT 413, Woodland Hills, CA 91367",625000,2.0,2.0,1050.0,
"7100 Alvern St APT 114, Los Angeles, CA 90045",675000,2.0,2.0,1130.0,
"11633 Chenault St UNIT 203, Los Angeles, CA 90049",1150000,2.0,3.0,1660.0,
"17657 W Murphy Ln, Northridge, CA 91325",900000,4.0,4.0,1846.0,
"20621 W Chestnut Cir, Porter Ranch, CA 91326",1200000,4.0,3.0,2189.0,
"746 S Los Angeles St APT 706, Los Angeles, CA 90014",412000,1.0,1.0,770.0,
"8307 S Figueroa St, Los Angeles, CA 90003",2120000,18.0,10.0,7584.0,
"2332 S Bentley Ave, Los Angeles, CA 90064",6300000,25.0,29.0,17974.0,
"4201 Topanga Canyon Blvd #31, Woodland Hills, CA 91364",385000,2.0,2.0,1250.0,
"5014 Whitsett Ave, Valley Village, CA 91607",2850000,12.0,18.0,6992.0,
"18621 Saticoy St, Reseda, CA 91335",6330000,58.0,50.0,22154.0,
"145 E Avenue 35 APT 7, Los Angeles, CA 90031",700000,11.0,9.0,3778.0,
"12027 Red Hawk Ln, Porter Ranch, CA 91326",2800000,4.0,5.0,4107.0,
"2280 W 24th St, Los Angeles, CA 90018",1700000,6.0,5.0,4114.0,
"11204 S Broadway, Los Angeles, CA 90061",2850000,41.0,23.0,17516.0,
"5742 Hazeltine Ave, Van Nuys, CA 91401",1240000,12.0,10.0,5708.0,
"1416 W Rolland Curtis Pl, Los Angeles, CA 90062",1430000,10.0,6.0,3709.0,
"6137 N Paseo La Vis, Woodland Hills, CA 91367",1980000,5.0,4.0,3366.0,
"1458-1460 W 80th St, Los Angeles, CA 90047",1050000,6.0,3.0,2684.0,
"4505 Santa Rosalia Dr, Los Angeles, CA 90008",2400000,15.0,16.0,14006.0,
"8323 Blackburn Ave, Los Angeles, CA 90048",2600000,16.0,9.0,9576.0,
"1 Century Dr UNIT 19B, Los Angeles, CA 90067",5300000,3.0,5.0,3520.0,
"20526 Overlook Ct, Porter Ranch, CA 91326",2200000,5.0,5.0,3873.0,
"20326 W Liverpool Way, Porter Ranch, CA 91326",2970000,5.0,6.0,4618.0,
"1631 Champlain Ter, Los Angeles, CA 90026",1340000,4.0,2.0,1952.0,
"902 El Medio Ave, Pacific Palisades, CA 90272",9995,4.0,3.0,2759.0,
"6179 Platt Ave, Woodland Hills, CA 91367",815000,3.0,2.0,1160.0,
"6225 Shoup Ave UNIT 111, Woodland Hills, CA 91367",525000,1.0,2.0,1032.0,
"23414 Clarendon St, Woodland Hills, CA 91367",1700000,5.0,4.0,3426.0,
"23309 Ladrillo St, Woodland Hills, CA 91367",1650000,4.0,3.0,2085.0,
"20934 Vose St, Canoga Park, CA 91303",717500,3.0,2.0,1228.0,
"18411 Hatteras St UNIT 235, Tarzana, CA 91356",499999,2.0,2.0,964.0,
"21228 Martinez St, Woodland Hills, CA 91364",958000,2.0,2.0,1285.0,
"4324 Natoma Ave, Woodland Hills, CA 91364",1450000,4.0,3.0,2383.0,
"15511 Sherman Way APT 25, Los Angeles, CA 91406",490000,3.0,2.0,1142.0,
"6601 Burnet Ave, Van Nuys, CA 91405",860000,3.0,2.0,1386.0,
"14259 Hatteras St, Van Nuys, CA 91401",1550000,4.0,5.0,2412.0,
"17150 Burbank Blvd UNIT 34, Encino, CA 91316",680000,2.0,3.0,2089.0,
"5460 White Oak Ave UNIT F201, Los Angeles, CA 91316",230000,1.0,1.0,683.0,
"4632 Lemona Ave, Sherman Oaks, CA 91403",1500000,4.0,3.0,1700.0,
"12251 Hartsook St, Valley Village, CA 91607",2560000,4.0,4.0,2669.0,
"4311 Greenbush Ave, Sherman Oaks, CA 91423",1470000,3.0,2.0,1449.0,
"12427 Landale St, Studio City, CA 91604",2100000,4.0,4.0,2840.0,
"4500 Whitsett Ave UNIT 5, Studio City, CA 91604",760000,2.0,2.0,1439.0,
"4115 Shadyglade Ave, Studio City, CA 91604",4250000,5.0,6.0,4330.0,
"7807 Arvilla Ave, Sun Valley, CA 91352",800000,3.0,3.0,1183.0,
"10852 Otsego St, North Hollywood, CA 91601",840000,3.0,1.0,967.0,
"15301 Larkspur St, Sylmar, CA 91342",1050000,4.0,3.0,1924.0,
"13421 Hubbard St UNIT 127, Sylmar, CA 91342",620000,3.0,3.0,1795.0,
"10550 Mather Ave, Sunland, CA 91040",530000,2.0,1.0,1085.0,
"11820 Shoshone Ave, Granada Hills, CA 91344",1350000,5.0,4.0,2592.0,
"8358 Murietta Ave, Panorama City, CA 91402",750000,3.0,2.0,1377.0,
"11205 Montgomery Ave, Granada Hills, CA 91344",1230000,5.0,4.0,2019.0,
"11209 Forbes Ave, Granada Hills, CA 91344",1230000,4.0,3.0,1956.0,
"17227 Minnehaha St, Granada Hills, CA 91344",760000,3.0,2.0,1550.0,
"17256 Kalisher St, Granada Hills, CA 91344",825000,4.0,2.0,1352.0,
"21901 Lassen St UNIT 167, Chatsworth, CA 91311",620000,3.0,3.0,1438.0,
"20716 Community St, Winnetka, CA 91306",800000,3.0,2.0,1566.0,
"7141 Knowlton Pl, Los Angeles, CA 90045",1350000,2.0,2.0,1241.0,
"8116 Belford Ave, Los Angeles, CA 90045",1050000,3.0,1.0,981.0,
"8318 Kittyhawk Ave, Los Angeles, CA 90045",1190000,4.0,2.0,1612.0,
"12420 Hammack St, Los Angeles, CA 90066",1350000,2.0,1.0,1093.0,
"3904 East Blvd, Los Angeles, CA 90066",2330000,4.0,1.0,2033.0,
"12539 Presnell St, Los Angeles, CA 90066",1940000,3.0,3.0,1800.0,
"2403 Ocean Ave, Venice, CA 90291",1500000,2.0,2.0,808.0,
"12713 Westminster Ave, Los Angeles, CA 90066",1800000,3.0,1.0,1241.0,
"10520 Almayo Ave, Los Angeles, CA 90064",2350000,3.0,3.0,2292.0,
"10327 Missouri Ave APT 301, Los Angeles, CA 90025",1100000,2.0,3.0,1399.0,
"10490 Wilshire Blvd APT 1501, Los Angeles, CA 90024",2100000,2.0,3.0,2776.0,
"136 S Clark Dr APT 2, Los Angeles, CA 90048",699000,1.0,2.0,758.0,
"10835 Savona Rd, Los Angeles, CA 90077",3500000,5.0,4.0,3458.0,
"2020 Coldwater Canyon Dr, Beverly Hills, CA 90210",2450000,5.0,5.0,5342.0,
"568 N Greencraig Rd, Los Angeles, CA 90049",3820000,5.0,4.0,3738.0,
"12188 W Sunset Blvd, Los Angeles, CA 90049",1950000,5.0,3.0,3193.0,
"12443 W Sunset Blvd, Los Angeles, CA 90049",41000,7.0,7.0,7870.0,
"14929 La Cumbre Dr, Pacific Palisades, CA 90272",5280000,4.0,3.0,2909.0,
"14924 Camarosa Dr, Pacific Palisades, CA 90272",22100000,7.0,9.0,8388.0,
"428 Via De La Paz, Pacific Palisades, CA 90272",2780000,,,,
"5453 Village Grn, Los Angeles, CA 90016",735000,2.0,2.0,1100.0,
"3963 3rd Ave, Los Angeles, CA 90008",1250000,4.0,4.0,2152.0,
"3045 10th Ave, Los Angeles, CA 90018",1130000,2.0,2.0,1194.0,
"1709 Buckingham Rd, Los Angeles, CA 90019",2800000,6.0,6.0,4013.0,
"981 S Saint Andrews Pl APT 104, Los Angeles, CA 90019",525000,2.0,2.0,921.0,
"4245 Wall St, Los Angeles, CA 90011",810000,5.0,5.0,2954.0,
"485 N Concord St, Los Angeles, CA 90063",475000,3.0,3.0,1757.0,
"1840 Jones Ave, Los Angeles, CA 90032",846000,2.0,1.0,912.0,
"4049 Via Marisol APT 217, Los Angeles, CA 90042",689000,2.0,2.0,1500.0,
"2017 Hyperion Ave, Los Angeles, CA 90027",740000,2.0,1.0,928.0,
"2019 Hyperion Ave, Los Angeles, CA 90027",650000,2.0,1.0,760.0,
"3038 Saint George St, Los Angeles, CA 90027",2290000,3.0,4.0,2264.0,
"236 Joy St, Los Angeles, CA 90042",1040000,3.0,2.0,1385.0,
"3922 Yosemite Way, Los Angeles, CA 90065",1120000,4.0,2.0,1653.0,
"1222 N Virgil Ave, Los Angeles, CA 90029",900000,3.0,2.0,1865.0,
"5824 Harold Way, Los Angeles, CA 90028",1170000,4.0,4.0,2390.0,
"8383 Hollywood Blvd, Los Angeles, CA 90069",3100000,3.0,2.0,2176.0,
"1242 Cedaredge Ave, Los Angeles, CA 90041",1240000,3.0,3.0,1972.0,
"115 E 75th St, Los Angeles, CA 90003",610000,3.0,2.0,1514.0,
"923 E 98th St, Los Angeles, CA 90002",440000,2.0,2.0,864.0,
"623 E 116th St, Los Angeles, CA 90059",703000,3.0,2.0,1034.0,
"1062 252nd St, Harbor City, CA 90710",885000,6.0,4.0,1967.0,
"1414 W 13th St, San Pedro, CA 90732",800000,2.0,1.0,954.0,
"7701 Ducor Ave, Canoga Park, CA 91304",785000,3.0,2.0,1303.0,
"5167 Knollwood Way, Woodland Hills, CA 91364",1220000,4.0,4.0,3096.0,
"5530 Owensmouth Ave APT 306, Woodland Hills, CA 91367",415000,2.0,1.0,740.0,
"21500 Burbank Blvd APT 201, Woodland Hills, CA 91367",387000,1.0,1.0,610.0,
"654 S Soto St, Los Angeles, CA 90023",1170000,4.0,4.0,2330.0,
"8804 Hollywood Blvd, Los Angeles, CA 90069",6100000,3.0,6.0,5013.0,
"1100 Wilshire Blvd APT 1702, Los Angeles, CA 90017",620000,1.0,2.0,1100.0,
"12244 Emelita St, Valley Village, CA 91607",2560000,5.0,5.0,3739.0,
"639 Pheasant Dr #340, Los Angeles, CA 90065",43000,,,,
"635 Pheasant Dr #339, Los Angeles, CA 90065",25000,,,,
"212 S Berendo St, Los Angeles, CA 90004",1530000,16.0,8.0,6680.0,
"11915 Jefferson Blvd, Culver City, CA 90230",4000000,24.0,14.0,10340.0,
"6300 Waring Ave, Los Angeles, CA 90038",1540000,8.0,6.0,4550.0,
"7001 Hazeltine Ave, Van Nuys, CA 91405",1800000,14.0,10.0,8150.0,
"8136 N Genesta Ave, Van Nuys, CA 91406",899999,3.0,3.0,1850.0,
"10290 Tujunga Canyon Blvd UNIT 102, Tujunga, CA 91042",550000,2.0,2.0,1028.0,
"2634 Dalton Ave, Los Angeles, CA 90018",1650000,10.0,9.0,5621.0,
"1315 Montana St, Los Angeles, CA 90026",2640000,14.0,10.0,5152.0,
"7060 Shoup Ave UNIT 199, Canoga Park, CA 91303",380000,1.0,1.0,670.0,
"20235 Keswick St UNIT 121, Winnetka, CA 91306",473000,2.0,2.0,1021.0,
"22348 Kittridge St, Canoga Park, CA 91303",885000,3.0,2.0,1440.0,
"5412 Lindley Ave UNIT 308, Encino, CA 91316",2700,2.0,2.0,1150.0,
"5461 Bothwell Rd, Tarzana, CA 91356",5290000,6.0,7.0,6942.0,
"5163 Alhama Dr, Woodland Hills, CA 91364",1080000,3.0,3.0,1522.0,
"6924 Colbath Ave, Van Nuys, CA 91405",1260000,3.0,2.0,1654.0,
"6909 Texhoma Ave, Van Nuys, CA 91406",862000,3.0,2.0,1516.0,
"6820 Encino Ave, Van Nuys, CA 91406",905000,3.0,2.0,1450.0,
"6840 Orion Ave, Van Nuys, CA 91406",4295,3.0,2.0,1304.0,
"5907 Cantaloupe Ave, Van Nuys, CA 91401",1300000,4.0,3.0,2106.0,
"14071 Roblar Rd, Sherman Oaks, CA 91423",3800000,7.0,6.0,4095.0,
"14007 Milbank St UNIT 5, Sherman Oaks, CA 91423",515000,2.0,2.0,953.0,
"4512 Libbit Ave, Encino, CA 91436",2200000,4.0,5.0,2500.0,
"7820 Fulton Ave, North Hollywood, CA 91605",1450000,5.0,5.0,3000.0,
"11818 Hamlin St, North Hollywood, CA 91606",935000,5.0,3.0,2352.0,
"5657 Fulton Ave, Van Nuys, CA 91401",1020000,3.0,3.0,1973.0,
"13507 Raven St, Sylmar, CA 91342",508000,3.0,1.0,960.0,
"11661 Luanda St, Sylmar, CA 91342",840000,3.0,3.0,1600.0,
"11008 Quill Ave, Sunland, CA 91040",867000,4.0,2.0,1405.0,
"8630 Forsythe St, Sunland, CA 91040",830000,3.0,2.0,1277.0,
"12611 Amboy Ave, Sylmar, CA 91342",1720000,8.0,5.0,2938.0,
"10330 Columbus Ave, Mission Hills, CA 91345",741000,3.0,2.0,1437.0,
"9216 Tobias Ave UNIT 1, Panorama City, CA 91402",531400,3.0,3.0,1276.0,
